2017-06-22 11:35:20,700 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java-dev:java-dev:0.0.1-SNAPSHOT @ C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\pom.xml.
2017-06-22 11:35:23,699 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:35:23,704 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:35:23,707 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:35:23,709 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:35:23,779 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /java-dev/src
2017-06-22 11:35:23,802 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /java-dev/test
2017-06-22 11:35:24,018 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-22 11:35:25,569 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java-dev:java-dev:0.0.1-SNAPSHOT @ C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\pom.xml.
2017-06-22 11:35:25,994 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /java-dev/src
2017-06-22 11:35:25,997 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /java-dev/test
2017-06-22 11:35:26,139 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-06-22 11:35:26,321 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:35:26,323 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:35:26,325 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:35:26,327 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:36:14,468 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java-dev:java-dev:0.0.1-SNAPSHOT @ C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\pom.xml.
2017-06-22 11:36:14,978 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:14,981 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:36:14,984 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:14,986 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:36:16,615 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:16,617 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:36:16,620 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:16,622 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:36:33,685 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev
2017-06-22 11:36:33,689 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-06-22 11:36:40,666 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:40,670 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:36:40,674 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:36:40,678 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:37:00,134 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:00,139 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:37:00,145 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:00,150 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:37:15,735 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:15,738 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:37:15,741 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:15,744 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:37:38,805 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:38,810 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:37:38,815 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:37:38,823 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:38:00,620 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:38:00,634 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:38:00,655 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:38:00,659 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:38:04,617 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
